Time,Light,ECG,Temp,OXI,Battery Voltage (mV)
23096,354.0,49.0,24.25,3466.0,464.00,3221.0
23162,354.0,49.0,24.25,3416.0,464.00,3151.0
23227,355.0,49.0,24.25,3342.0,464.00,3101.0
23297,355.0,49.0,24.25,3266.0,464.00,3082.0
23362,355.0,49.0,24.25,3215.0,464.00,3084.0
23429,356.0,49.0,24.25,3170.0,464.00,3101.0
23493,356.0,49.0,24.25,3143.0,464.00,3118.0
23559,356.0,49.0,24.25,3116.0,464.00,3139.0
23629,356.0,49.0,24.25,3095.0,464.00,3169.0
23694,356.0,49.0,24.25,3090.0,464.00,3211.0
23759,356.0,49.0,24.25,3089.0,464.00,3252.0
23825,356.0,49.0,24.25,3098.0,464.00,3296.0
23890,356.0,49.0,24.25,3119.0,464.00,3347.0
23960,356.0,49.0,24.25,3153.0,464.00,3405.0
24026,356.0,49.0,24.25,3183.0,464.00,3439.0
24091,355.0,49.0,24.25,3214.0,464.00,3471.0
24157,356.0,49.0,24.25,3266.0,464.00,3496.0
24226,355.0,49.0,24.25,3321.0,464.00,3506.0
24292,355.0,49.0,24.25,3364.0,464.00,3511.0
24357,355.0,49.0,24.25,3409.0,464.00,3511.0
24423,355.0,49.0,24.25,3439.0,464.00,3493.0
24488,355.0,49.0,24.25,3475.0,464.00,3469.0
24558,354.0,49.0,24.25,3492.0,464.00,3442.0
24624,354.0,49.0,24.25,3509.0,464.00,3399.0
24692,354.0,49.0,24.25,3517.0,464.00,3355.0
24755,354.0,49.0,24.25,3519.0,464.00,3326.0
24820,354.0,49.0,24.25,3501.0,464.00,3279.0
24890,354.0,49.0,24.25,3450.0,464.00,3199.0
24955,355.0,49.0,24.25,3389.0,464.00,3127.0
25021,355.0,49.0,24.25,3308.0,464.00,3085.0
25091,355.0,49.0,24.25,3216.0,464.00,3072.0
25152,356.0,49.0,24.25,3140.0,464.00,3093.0
25218,356.0,49.0,24.25,3091.0,464.00,3147.0
25283,357.0,49.0,24.25,3070.0,464.00,3215.0
25352,357.0,49.0,24.25,3095.0,464.00,3326.0
25418,357.0,49.0,24.25,3156.0,464.00,3408.0
25483,356.0,49.0,24.25,3240.0,464.00,3480.0
25549,356.0,49.0,24.25,3298.0,464.00,3504.0
25615,355.0,49.0,24.25,3368.0,464.00,3502.0
25680,354.0,49.0,24.25,3430.0,464.00,3488.0
25750,354.0,49.0,24.25,3473.0,464.00,3448.0
25815,354.0,49.0,24.25,3502.0,464.00,3384.0
25881,354.0,49.0,24.25,3508.0,464.00,3319.0
25946,354.0,49.0,24.25,3480.0,464.00,3249.0
26012,354.0,49.0,24.25,3455.0,464.00,3194.0
26077,354.0,49.0,24.25,3416.0,464.00,3153.0
26150,354.0,49.0,24.25,3361.0,464.00,3111.0
26213,354.0,49.0,24.25,3313.0,464.00,3097.0
26278,355.0,49.0,24.25,3269.0,464.00,3090.0
26344,355.0,49.0,24.25,3225.0,464.00,3085.0
26409,355.0,49.0,24.25,3183.0,464.00,3093.0
26479,355.0,49.0,24.25,3157.0,464.00,3106.0
26545,355.0,49.0,24.25,3128.0,464.00,3127.0
26610,355.0,49.0,24.25,3111.0,464.00,3143.0
26676,355.0,49.0,24.25,3093.0,464.00,3179.0
26745,355.0,49.0,24.25,3094.0,464.00,3216.0
26811,356.0,49.0,24.25,3091.0,464.00,3242.0
26876,356.0,49.0,24.25,3097.0,464.00,3273.0
26942,355.0,49.0,24.25,3106.0,464.00,3307.0
27007,355.0,49.0,24.25,3110.0,464.00,3330.0
27077,355.0,49.0,24.25,3124.0,464.00,3343.0
27142,356.0,49.0,24.25,3131.0,464.00,3354.0
27208,355.0,49.0,24.25,3135.0,464.00,3359.0
27277,356.0,49.0,24.25,3132.0,464.00,3346.0
27343,356.0,49.0,24.25,3123.0,464.00,3334.0
27409,356.0,49.0,24.25,3126.0,464.00,3349.0
27474,356.0,49.0,24.25,3137.0,464.00,3370.0
27544,356.0,49.0,24.25,3154.0,464.00,3396.0
27609,356.0,49.0,24.25,3169.0,464.00,3416.0
27675,355.0,49.0,24.25,3191.0,464.00,3441.0
27747,355.0,49.0,24.25,3219.0,464.00,3463.0
27810,355.0,49.0,24.25,3242.0,464.00,3477.0
27876,355.0,49.0,24.25,3257.0,464.00,3487.0
28007,355.0,49.0,24.25,3328.0,464.00,3517.0
28072,355.0,49.0,24.25,3359.0,464.00,3522.0
28142,355.0,49.0,24.25,3385.0,464.00,3513.0
28207,355.0,49.0,24.25,3427.0,464.00,3498.0
28273,355.0,49.0,24.25,3468.0,464.00,3479.0
28356,354.0,49.0,24.25,3490.0,464.00,3458.0
28408,354.0,49.0,24.25,3506.0,464.00,3445.0
28474,354.0,49.0,24.25,3522.0,464.00,3479.0
28539,354.0,26.0,24.25,3493.0,464.00,3548.0
28609,354.0,26.0,24.25,3357.0,464.00,3585.0
28674,356.0,26.0,24.25,3085.0,464.00,3294.0
28740,356.0,49.0,24.25,3185.0,464.00,3437.0
28805,355.0,49.0,24.25,3397.0,464.00,3429.0
28871,355.0,49.0,24.25,3464.0,464.00,3249.0
28936,354.0,49.0,24.25,3324.0,464.00,3065.0
29002,355.0,49.0,24.25,3111.0,464.00,3055.0
29067,356.0,49.0,24.25,3035.0,464.00,3215.0
29133,357.0,49.0,24.25,3158.0,464.00,3417.0
29198,356.0,49.0,24.25,3380.0,464.00,3424.0
29264,355.0,49.0,24.25,3447.0,464.00,3231.0
29329,355.0,49.0,24.25,3291.0,464.00,3047.0
29395,355.0,49.0,24.25,3080.0,464.00,3069.0
29461,356.0,49.0,24.25,3042.0,464.00,3274.0
29526,356.0,49.0,24.25,3199.0,464.00,3443.0
29588,355.0,49.0,24.25,3409.0,464.00,3389.0
29653,355.0,49.0,24.25,3395.0,464.00,3136.0
29719,355.0,49.0,24.25,3153.0,464.00,3025.0
29784,356.0,49.0,24.25,3019.0,464.00,3172.0
29850,356.0,49.0,24.25,3102.0,464.00,3385.0
29915,356.0,49.0,24.25,3299.0,464.00,3469.0
29981,355.0,49.0,24.25,3443.0,464.00,3397.0
30046,355.0,49.0,24.25,3490.0,464.00,3308.0
30112,355.0,49.0,24.25,3504.0,464.00,3298.0
30181,355.0,49.0,24.25,3511.0,464.00,3307.0
30247,355.0,48.0,24.25,3506.0,464.00,3320.0
30312,355.0,49.0,24.25,3485.0,464.00,3320.0
30378,356.0,49.0,24.25,3443.0,464.00,3266.0
30452,356.0,49.0,24.25,3345.0,464.00,3179.0
